	protein1	protein2	cost
19740	PA14_13660	PA14_45960	0.5
19741	PA14_17900	PA14_40670	0.5
19742	PA14_17900	PA14_33650	0.5
19743	PA14_17900	PA14_33500	0.5
19744	PA14_17900	PA4144	0.5
19745	PA14_17900	PA4223	0.5
19746	PA0633	PA14_17900	0.5
19747	PA0848	PA14_17900	0.5
19748	PA14_17900	PA14_67680	0.5
19791	PA14_11060	PA14_56070	0.5
19792	PA14_51470	PA14_56070	0.5
19810	PA14_49170	PA14_63150	1.5
19811	PA14_49170	PA14_69470	1.5
19881	PA14_13660	PA14_13660	0.5
19882	PA14_13660	PA14_24480	0.5
19883	PA14_13660	PA14_24530	0.5
19884	PA14_13660	PA14_24490	0.5
19885	PA14_13660	PA14_24510	0.5
19886	PA14_13660	PA14_24500	0.5
19887	PA14_13660	PA14_24560	0.5
19888	PA14_13660	PA14_24550	0.5
19889	PA14_13660	PA4625	0.5
19890	PA14_13660	PA4624	0.5
19891	PA14_13660	PA4139	0.5
20516	PA14_33300	PA14_33330	1.0
20517	PA14_33300	PA14_33320	1.0
20518	PA14_33300	PA14_33310	1.0
20519	PA14_33320	PA14_33330	1.0
20520	PA14_33310	PA14_33330	1.0
20521	PA14_33350	PA14_33350	1.0
20522	PA14_33310	PA14_33320	1.0
27424	PA14_07230	PA14_67490	0.5
27427	PA14_22930	PA14_71570	0.5
27430	PA14_07190	PA14_34600	0.5
27433	PA14_11810	PA14_17400	0.5
27434	PA14_11810	PA14_71630	0.5
27435	PA14_17400	PA14_38840	0.5
27436	PA14_38840	PA14_71630	0.5
27441	PA14_62620	PA14_67490	0.5
27444	PA14_17400	PA14_51050	0.5
27445	PA14_51050	PA14_71630	0.5
27446	PA14_17400	PA14_64740	0.5
27447	PA14_64740	PA14_71630	0.5
27450	PA14_22890	PA14_34600	0.5
27451	PA14_25250	PA14_34600	0.5
27455	PA14_22930	PA14_62620	0.5
27458	PA14_11810	PA14_31500	0.5
27459	PA14_11810	PA14_52800	0.5
27460	PA14_11810	PA14_62630	0.5
27461	PA14_31500	PA14_38840	0.5
27462	PA14_38840	PA14_52800	0.5
27463	PA14_38840	PA14_62630	0.5
27469	PA14_19900	PA14_35490	0.5
27470	PA14_19900	PA14_43970	0.5
27471	PA14_19900	PA14_63850	0.5
27472	PA14_19910	PA14_35490	0.5
27473	PA14_19910	PA14_43970	0.5
27474	PA14_19910	PA14_63850	0.5
27475	PA14_35490	PA14_66290	0.5
27476	PA14_43970	PA14_66290	0.5
27477	PA14_63850	PA14_66290	0.5
27484	PA14_62620	PA14_71570	0.5
27486	PA14_17320	PA14_67770	0.5
27489	PA14_34600	PA14_62830	0.5
27491	PA14_62620	PA14_70270	0.5
27493	PA14_10240	PA14_31500	0.5
27494	PA14_19920	PA14_31500	0.5
27495	PA14_31500	PA14_66310	0.5
27496	PA14_10240	PA14_52800	0.5
27497	PA14_19920	PA14_52800	0.5
27498	PA14_52800	PA14_66310	0.5
27499	PA14_10240	PA14_62630	0.5
27500	PA14_19920	PA14_62630	0.5
27501	PA14_62630	PA14_66310	0.5
27508	PA14_45050	PA14_68580	0.5
27509	PA14_56240	PA14_68580	0.5
27513	PA14_22890	PA14_62830	0.5
27514	PA14_25250	PA14_62830	0.5
27515	PA14_31500	PA14_51050	0.5
27516	PA14_31500	PA14_64740	0.5
27517	PA14_51050	PA14_52800	0.5
27518	PA14_52800	PA14_64740	0.5
27519	PA14_51050	PA14_62630	0.5
27520	PA14_62630	PA14_64740	0.5
27523	PA14_07230	PA14_62830	0.5
27525	PA14_07230	PA14_34600	0.5
27526	PA14_11810	PA14_38860	0.5
27527	PA14_38840	PA14_38860	0.5
27530	PA14_10240	PA14_35490	0.5
27531	PA14_10240	PA14_43970	0.5
27532	PA14_10240	PA14_63850	0.5
27533	PA14_19920	PA14_35490	0.5
27534	PA14_19920	PA14_43970	0.5
27535	PA14_19920	PA14_63850	0.5
27536	PA14_35490	PA14_66310	0.5
27537	PA14_43970	PA14_66310	1.0
27538	PA14_63850	PA14_66310	0.5
27545	PA14_07190	PA14_22890	0.5
27546	PA14_07190	PA14_25250	0.5
27550	PA14_10240	PA14_19900	0.5
27551	PA14_19900	PA14_19920	0.5
27552	PA14_19900	PA14_66310	0.5
27553	PA14_10240	PA14_19910	0.5
27554	PA14_19910	PA14_19920	0.5
27555	PA14_19910	PA14_66310	0.5
27556	PA14_10240	PA14_66290	0.5
27557	PA14_19920	PA14_66290	0.5
27558	PA14_66290	PA14_66310	0.5
27567	PA14_17320	PA14_45050	0.5
27568	PA14_17320	PA14_56240	0.5
27570	PA14_07190	PA14_67770	0.5
27572	PA14_34600	PA14_67770	0.5
27573	PA14_38860	PA14_51050	0.5
27574	PA14_38860	PA14_64740	0.5
27575	PA14_19900	PA14_45050	0.5
27576	PA14_19900	PA14_56240	0.5
27577	PA14_19910	PA14_45050	0.5
27578	PA14_19910	PA14_56240	0.5
27579	PA14_45050	PA14_66290	0.5
27580	PA14_56240	PA14_66290	0.5
27586	PA14_17320	PA14_68580	0.5
27587	PA14_70270	PA14_71570	0.5
27588	PA14_22930	PA14_70270	0.5
27589	PA14_07230	PA14_22890	0.5
27590	PA14_07230	PA14_25250	0.5
27591	PA14_44020	PA14_53220	0.5
27592	PA14_44030	PA14_53220	0.5
27593	PA14_44050	PA14_53220	0.5
27594	PA14_44060	PA14_53220	0.5
27595	PA14_44020	PA14_56300	0.5
27596	PA14_44030	PA14_56300	0.5
27597	PA14_44050	PA14_56300	0.5
27598	PA14_44060	PA14_56300	0.5
27599	PA14_44020	PA14_58030	0.5
27600	PA14_44030	PA14_58030	0.5
27601	PA14_44050	PA14_58030	0.5
27602	PA14_44060	PA14_58030	0.5
27610	PA14_19470	PA14_53220	0.5
27611	PA14_53220	PA14_61400	0.5
27612	PA14_19470	PA14_56300	0.5
27613	PA14_56300	PA14_61400	0.5
27614	PA14_19470	PA14_58030	0.5
27615	PA14_58030	PA14_61400	0.5
27621	PA14_19900	PA14_19900	0.5
27622	PA14_19900	PA14_19910	0.5
27623	PA14_19900	PA14_66290	0.5
27624	PA14_19910	PA14_19910	0.5
27625	PA14_19910	PA14_66290	0.5
27626	PA14_66290	PA14_66290	0.5
27630	PA14_35490	PA14_44010	0.5
27631	PA14_43970	PA14_44010	1.0
27632	PA14_44010	PA14_63850	0.5
27634	PA14_43940	PA14_44000	0.5
27635	PA14_43950	PA14_44000	1.0
27639	PA14_43940	PA14_44020	0.5
27640	PA14_43950	PA14_44020	0.5
27641	PA14_43940	PA14_44030	1.0
27642	PA14_43950	PA14_44030	1.0
27643	PA14_43940	PA14_44050	0.5
27644	PA14_43950	PA14_44050	0.5
27645	PA14_43940	PA14_44060	0.5
27646	PA14_43950	PA14_44060	0.5
27653	PA14_10240	PA14_44070	0.5
27654	PA14_19920	PA14_44070	0.5
27655	PA14_44070	PA14_66310	0.5
27657	PA14_19470	PA14_71720	0.5
27658	PA14_19470	PA14_71740	0.5
27659	PA14_61400	PA14_71720	0.5
27660	PA14_61400	PA14_71740	0.5
27665	PA14_44020	PA14_71890	0.5
27666	PA14_44030	PA14_71890	0.5
27667	PA14_44050	PA14_71890	0.5
27668	PA14_44060	PA14_71890	0.5
27670	PA14_44000	PA14_44010	1.5
27673	PA14_35490	PA14_44000	0.5
27674	PA14_43970	PA14_44000	1.0
27675	PA14_44000	PA14_63850	0.5
27677	PA14_19470	PA14_44070	0.5
27678	PA14_44070	PA14_61400	0.5
27680	PA14_68580	PA14_71720	0.5
27681	PA14_68580	PA14_71740	0.5
27683	PA14_44070	PA14_68580	0.5
27684	PA14_19470	PA14_68580	0.5
27685	PA14_61400	PA14_68580	0.5
27686	PA14_19900	PA14_71720	0.5
27687	PA14_19900	PA14_71740	0.5
27688	PA14_19910	PA14_71720	0.5
27689	PA14_19910	PA14_71740	0.5
27690	PA14_66290	PA14_71720	0.5
27691	PA14_66290	PA14_71740	0.5
27694	PA14_44000	PA14_71890	0.5
27696	PA14_44070	PA14_71720	0.5
27697	PA14_44070	PA14_71740	0.5
27698	PA14_41470	PA14_44070	0.5
27699	PA14_44070	PA14_44290	1.0
27703	PA14_30180	PA14_41470	0.5
27704	PA14_30190	PA14_41470	0.5
27705	PA14_30180	PA14_44290	0.5
27706	PA14_30190	PA14_44290	0.5
27711	PA14_30180	PA14_44010	0.5
27712	PA14_30190	PA14_44010	0.5
27716	PA14_07130	PA14_27960	0.5
27719	PA14_20440	PA14_61770	0.5
27726	PA14_07130	PA14_62620	0.5
27728	PA14_07130	PA14_67490	0.5
27729	PA14_23090	PA14_34600	0.5
27730	PA14_23620	PA14_34600	0.5
27733	PA14_07130	PA14_07230	0.5
27734	PA14_23070	PA14_62620	0.5
27735	PA14_62620	PA14_71800	0.5
27738	PA14_34640	PA14_35290	0.5
27739	PA14_34640	PA14_35300	0.5
