	protein1	protein2	cost
1	PA3363	PA3364	1.0
2	PA3008	PA4407	1.0
3	PA1898	PA1898	1.0
4	PA1707	PA1709	1.5
5	PA2493	PA2494	1.0
6	PA1898	PA3477	1.0
7	PA0425	PA0426	1.0
8	PA1155	PA1156	1.5
9	PA0762	PA0763	0.5
10	PA1708	PA1709	1.0
11	PA3095	PA3096	1.5
12	PA0843	PA0844	1.5
13	PA1707	PA3008	1.0
14	PA1707	PA1708	1.0
15	PA1706	PA1708	1.5
16	PA1705	PA1706	1.0
17	PA1705	PA1710	1.0
18	PA1710	PA1711	1.0
19	PA0763	PA1711	1.0
20	PA0764	PA1454	1.0
21	PA1097	PA1714	1.0
22	PA1713	PA1714	1.0
23	PA1710	PA4407	1.0
24	PA3104	PA5227	1.0
25	PA3101	PA3105	1.0
26	PA3097	PA3101	1.0
27	PA3008	PA4525	1.0
28	PA4116	PA4117	1.0
29	PA0964	PA1003	1.0
30	PA0424	PA3719	0.5
31	PA3364	PA3719	1.0
32	PA2387	PA2388	0.5
33	PA2388	PA2426	0.5
34	PA1607	PA1607	1.0
35	PA0576	PA5255	1.0
36	PA4872	PA4872	1.0
37	PA1710	PA1714	1.0
38	PA4293	PA4293	1.0
39	PA4293	PA4296	1.0
40	PA1710	PA1710	1.0
41	PA1714	PA1714	1.0
42	PA0928	PA4856	0.5
43	PA0928	PA2586	1.0
44	PA0928	PA0928	1.0
45	PA5483	PA5484	0.5
46	PA5484	PA5484	1.0
47	PA1611	PA3345	0.5
48	PA1976	PA3345	0.5
49	PA2824	PA3345	0.5
50	PA3345	PA4856	1.0
51	PA3345	PA3346	0.5
52	PA1611	PA1611	1.0
53	PA3346	PA3347	0.5
54	PA3946	PA3947	1.0
55	PA3946	PA3948	0.5
56	PA5373	PA5373	1.0
57	PA0075	PA0081	1.0
58	PA0074	PA0081	1.0
59	PA3101	PA4525	1.5
60	PA3100	PA3101	1.0
61	PA3099	PA3101	1.0
62	PA3098	PA3101	1.0
63	PA3101	PA3101	1.0
64	PA3841	PA3842	1.5
65	PA0044	PA3842	1.0
66	PA1698	PA1699	1.5
67	PA1701	PA1702	1.5
68	PA1699	PA1702	1.5
69	PA4250	PA4250	1.0
70	PA3655	PA3655	1.0
71	PA5040	PA5040	1.0
72	PA4432	PA4432	1.0
73	PA4268	PA4268	1.0
74	PA4241	PA4241	1.0
75	PA0973	PA0973	1.0
76	PA4247	PA4247	1.0
77	PA4262	PA4262	1.0
78	PA3167	PA4247	1.0
79	PA4247	PA4526	1.0
80	PA4244	PA4244	1.0
81	PA4256	PA4256	1.0
82	PA0519	PA0519	1.0
83	PA4264	PA4264	1.0
84	PA4260	PA4260	1.0
85	PA0594	PA0594	1.0
86	PA4671	PA4671	1.0
87	PA3653	PA3653	1.0
88	PA4433	PA4433	1.0
89	PA3529	PA3529	1.0
90	PA4694	PA4694	1.0
91	PA1045	PA4671	1.0
92	PA4386	PA4386	1.0
93	PA0762	PA0762	1.0
94	PA5037	PA5037	1.0
95	PA5172	PA5172	1.0
96	PA4484	PA4484	1.0
97	PA3656	PA3656	1.0
98	PA0423	PA0423	1.0
99	PA4934	PA4935	1.0
100	PA1596	PA1596	1.0
101	PA4938	PA4938	1.0
102	PA1586	PA1586	1.0
103	PA5494	PA5494	1.0
104	PA0139	PA0139	1.0
105	PA1805	PA1805	1.0
106	PA1588	PA1589	1.0
107	PA4854	PA4854	1.0
108	PA1587	PA1587	1.0
109	PA2853	PA2853	1.0
110	PA4270	PA4270	1.0
111	PA4251	PA4251	1.0
112	PA0141	PA0141	1.0
113	PA1156	PA1156	1.0
114	PA0943	PA0943	1.0
115	PA3162	PA3162	1.0
116	PA3807	PA3807	1.0
117	PA0969	PA0969	1.0
118	PA4453	PA4453	1.0
119	PA4272	PA4272	1.0
120	PA0963	PA0963	1.0
121	PA3686	PA3686	1.0
122	PA3190	PA3190	1.0
123	PA0070	PA3162	1.0
124	PA1589	PA1589	1.0
125	PA0020	PA0020	1.0
126	PA4329	PA4329	1.0
127	PA0428	PA0428	1.0
128	PA4259	PA4259	1.0
129	PA4264	PA4315	1.0
130	PA4254	PA4254	1.0
131	PA4267	PA4267	1.0
132	P09591	P09591	1.0
133	P09591	PA2705	1.0
