gene,log2FoldChange,padj
PA3326,-3.44629590365617,8.72424828368838e-96
PA3327,-4.39479352918042,1.33354533865812e-87
PA3330,-4.72226394977961,3.60644463932168e-63
PA3333,-4.43978375653965,3.67455757415725e-62
PA3332,-4.4967250206877,7.19281401031335e-62
PA3329,-4.4611355548612,2.6941063270647e-59
PA3334,-4.40877315337504,1.64629043873465e-53
PA3331,-4.64965781287692,6.01345973200594e-51
PA3328,-4.20827602162889,8.28914338758206e-50
PA3335,-3.84484392069854,3.03134752474182e-49
PA3724,-2.96333112074956,3.47625478756551e-45
PA3336,-4.00817786988768,3.97582482430023e-45
PA2840,2.43982426114455,2.27570241662468e-44
PA2796,-1.83762786119083,2.40168002699559e-36
PA0641,3.21979559521054,1.24041586090949e-35
PA4839,1.83924592696273,1.55153534535032e-35
PA0636,3.23576464465571,4.15886840348874e-34
PA4138,2.80545487719258,4.21486633705212e-34
PA0622,3.24276628874333,1.30668950528695e-32
PA1871,-2.86502011708004,1.30668950528695e-32
PA0617,3.77052938337466,1.27763183860266e-31
PA0572,-3.19062877599457,1.3238490415873e-31
PA0277,3.30151395177415,2.38163936523927e-31
PA2195,-2.16866713415871,3.01261989125493e-31
PA2272,-2.15389249037972,7.13522201632837e-31
PA0639,3.07784143260389,8.14821394432743e-31
PA0618,3.3383242498484,2.17193085398804e-30
PA1249,-3.2609631140248,2.70962758595988e-30
PA3479,-3.12298441225382,8.18415627599563e-30
PA0045,2.09693194558216,1.49870891898557e-29
PA0638,3.12327449440934,1.49870891898557e-29
PA0619,3.03407452469196,2.02569466500338e-29
PA2911,3.00165518413011,7.28356238643599e-29
PA5340,1.52039553156122,2.01714467034301e-28
PA4519,2.26833095399856,1.07611104742696e-27
PA3967,1.86770787759453,1.07956338113272e-27
PA5339,1.8348304420751,1.2433899874464e-27
PA0614,3.16427767143433,2.2173569330059e-27
PA0640,3.36057896872326,2.06684880895557e-26
PA0126,2.15621802503765,2.80826888823692e-26
PA0613,3.15233618966481,2.98382685626586e-26
PA0635,3.00533753997712,4.05547033709747e-26
PA0165,2.28321291602304,4.06165145991815e-26
