Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15595199	PA0001	NP_064721.1	chromosomal replication initiation protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053721	PA14_00010	WP_003109151.1	chromosomal replication initiation protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595200	PA0002	NP_064722.1	DNA polymerase III subunit beta	57977	Pseudomonas aeruginosa UCBPP-PA14	116053722	PA14_00020	WP_003097262.1	DNA polymerase III subunit beta				
rbb	57945	Pseudomonas aeruginosa PAO1	15595201	PA0003	NP_064723.1	recombination protein F	57977	Pseudomonas aeruginosa UCBPP-PA14	116053723	PA14_00030	WP_003097265.1	recombination protein F				
rbb	57945	Pseudomonas aeruginosa PAO1	15595202	PA0004	NP_064724.1	DNA gyrase subunit B	57977	Pseudomonas aeruginosa UCBPP-PA14	116053724	PA14_00050	WP_003097268.1	DNA gyrase subunit B				
rbb	57945	Pseudomonas aeruginosa PAO1	15595203	PA0005	NP_064725.1	lysophosphatidic acid acyltransferase, LptA	57977	Pseudomonas aeruginosa UCBPP-PA14	116053725	PA14_00060	WP_003100265.1	putative acyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595204	PA0006	NP_064726.1	D,D-heptose 1,7-bisphosphate phosphatase	57977	Pseudomonas aeruginosa UCBPP-PA14	116053726	PA14_00070	WP_003142196.1	D,D-heptose 1,7-bisphosphate phosphatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595205	PA0007	NP_064727.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116053727	PA14_00080	WP_003142198.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595206	PA0008	NP_064728.1	glycyl-tRNA synthetase subunit beta	57977	Pseudomonas aeruginosa UCBPP-PA14	116053728	PA14_00090	WP_003100271.1	glycyl-tRNA synthetase subunit beta				
rbb	57945	Pseudomonas aeruginosa PAO1	15595207	PA0009	NP_064729.1	glycyl-tRNA synthetase subunit alpha	57977	Pseudomonas aeruginosa UCBPP-PA14	116053729	PA14_00100	WP_003097276.1	glycyl-tRNA synthetase subunit alpha				
rbb	57945	Pseudomonas aeruginosa PAO1	15595208	PA0010	NP_248700.1	DNA-3-methyladenine glycosidase I	57977	Pseudomonas aeruginosa UCBPP-PA14	116053730	PA14_00110	WP_003097280.1	DNA-3-methyladenine glycosidase I				
